city,month,seasonal_factor,trust_week,declared_hourly_rate,claims_last_month,years_on_platform,flood_risk_score,heat_risk_score,ward_disruption_freq,city_median_hourly,city_base_premium,weekly_premium
chennai,11,0.7,1,63.89,3,1.17,0.75,0.608,0.08,62,95,80.8
bangalore,4,0.9,9,58.19,2,3.3,0.4,0.468,0.051,58,80,76.62
delhi,3,0.9,9,55.12,4,3.19,0.301,0.715,0.087,60,85,90.7
chennai,7,1.5,9,55.46,4,4.29,0.626,0.576,0.108,62,95,120.0
delhi,3,0.9,9,68.54,1,0.9,0.293,0.618,0.073,60,85,83.45
delhi,5,1.3,1,55.19,4,3.13,0.649,0.649,0.046,60,85,120.0
delhi,7,1.5,5,71.4,6,2.9,0.307,0.855,0.04,60,85,120.0
chennai,6,1.5,5,73.22,3,1.5,0.68,0.492,0.056,62,95,120.0
bangalore,8,1.3,9,48.15,3,2.93,0.176,0.202,0.046,58,80,103.29
bangalore,2,0.8,5,41.8,1,3.95,0.28,0.173,0.036,58,80,61.47
delhi,0,0.7,5,47.15,0,1.16,0.488,0.712,0.072,60,85,64.04
mumbai,0,0.7,5,77.23,4,0.55,0.824,0.113,0.085,65,100,90.91
delhi,7,1.5,1,60.51,5,3.15,0.453,0.633,0.049,60,85,120.0
chennai,7,1.5,1,60.71,3,4.23,0.759,0.479,0.048,62,95,120.0
chennai,5,1.3,1,53.7,3,0.11,0.748,0.541,0.085,62,95,120.0
delhi,9,1.0,5,38.42,1,2.42,0.442,0.593,0.051,60,85,91.82
mumbai,2,0.8,9,72.1,0,2.57,0.743,0.071,0.081,65,100,89.63
pune,6,1.5,1,56.95,7,4.72,0.317,0.291,0.038,55,65,117.59
mumbai,4,0.9,1,70.98,4,4.5,0.474,0.286,0.104,65,100,109.89
pune,7,1.5,1,40.22,4,1.37,0.196,0.391,0.035,55,65,113.3
mumbai,4,0.9,1,37.85,3,4.58,0.923,0.112,0.092,65,100,106.42
delhi,11,0.7,1,61.12,3,3.0,0.381,0.656,0.075,60,85,71.34
delhi,7,1.5,1,63.3,3,1.38,0.317,0.773,0.037,60,85,120.0
delhi,2,0.8,5,75.23,1,2.16,0.418,0.712,0.064,60,85,72.95
bangalore,4,0.9,1,68.87,0,4.97,0.399,0.203,0.063,58,80,70.99
bangalore,11,0.7,1,58.11,1,1.25,0.274,0.613,0.033,58,80,62.65
chennai,1,0.7,1,62.27,1,4.57,0.694,0.493,0.06,62,95,79.09
pune,2,0.8,1,57.37,1,4.19,0.137,0.196,0.072,55,65,60.0
mumbai,11,0.7,5,67.47,2,2.66,0.353,0.149,0.087,65,100,78.45
pune,4,0.9,5,52.76,4,1.02,0.333,0.314,0.036,55,65,67.75
bangalore,2,0.8,5,62.93,2,0.77,0.276,0.255,0.033,58,80,67.68
mumbai,8,1.3,9,72.23,0,0.68,0.736,0.204,0.096,65,100,120.0
bangalore,5,1.3,1,50.08,1,1.95,0.196,0.285,0.081,58,80,100.76
pune,2,0.8,9,41.8,0,2.96,0.232,0.265,0.036,55,65,60.0
chennai,9,1.0,1,73.99,2,4.89,0.819,0.627,0.093,62,95,112.59
chennai,11,0.7,1,64.99,2,3.14,0.619,0.583,0.072,62,95,76.66
bangalore,0,0.7,5,93.33,0,1.84,0.238,0.371,0.101,58,80,60.0
chennai,7,1.5,9,78.56,4,1.64,0.784,0.411,0.047,62,95,120.0
pune,6,1.5,5,82.88,3,1.5,0.16,0.142,0.069,55,65,99.44
chennai,9,1.0,9,52.91,2,2.08,0.658,0.513,0.077,62,95,105.42
bangalore,5,1.3,1,75.78,0,3.72,0.309,0.329,0.036,58,80,105.71
chennai,7,1.5,1,70.72,2,0.93,0.606,0.314,0.106,62,95,120.0
delhi,2,0.8,9,57.93,2,3.34,0.398,0.602,0.068,60,85,72.41
bangalore,7,1.5,9,70.86,4,2.59,0.363,0.255,0.011,58,80,120.0
bangalore,7,1.5,1,70.31,1,3.58,0.493,0.066,0.04,58,80,120.0
chennai,7,1.5,1,54.12,6,1.75,0.762,0.531,0.061,62,95,120.0
pune,5,1.3,9,80.25,2,1.96,0.145,0.082,0.05,55,65,85.43
chennai,6,1.5,5,68.48,0,0.65,0.632,0.548,0.088,62,95,120.0
bangalore,9,1.0,1,53.71,1,4.95,0.297,0.272,0.063,58,80,76.9
mumbai,4,0.9,9,68.03,0,1.62,0.695,0.303,0.07,65,100,90.72
mumbai,11,0.7,1,44.62,1,0.93,0.732,0.243,0.101,65,100,79.19
bangalore,6,1.5,5,47.41,3,3.3,0.173,0.422,0.066,58,80,120.0
delhi,8,1.3,1,55.3,2,2.81,0.24,0.831,0.044,60,85,120.0
chennai,9,1.0,5,71.23,1,4.82,0.717,0.379,0.112,62,95,104.52
pune,5,1.3,5,53.82,5,2.63,0.476,0.246,0.052,55,65,100.21
chennai,8,1.3,9,58.18,2,1.14,0.548,0.426,0.06,62,95,120.0
chennai,6,1.5,5,42.79,3,1.87,0.768,0.583,0.06,62,95,120.0
chennai,7,1.5,1,69.95,2,1.29,0.822,0.537,0.061,62,95,120.0
mumbai,2,0.8,9,85.93,1,3.27,0.716,0.229,0.095,65,100,88.35
mumbai,11,0.7,9,65.66,3,4.86,0.532,0.157,0.122,65,100,75.4
delhi,2,0.8,5,57.83,2,1.66,0.366,0.704,0.1,60,85,76.13
bangalore,4,0.9,1,62.61,1,3.32,0.41,0.188,0.025,58,80,77.22
chennai,9,1.0,9,58.56,2,4.21,0.696,0.439,0.119,62,95,108.62
mumbai,1,0.7,1,54.48,0,1.3,0.719,0.044,0.122,65,100,79.1
delhi,11,0.7,5,78.65,3,1.56,0.472,0.723,0.039,60,85,74.2
delhi,2,0.8,9,59.35,1,2.04,0.287,0.569,0.059,60,85,76.27
mumbai,9,1.0,9,50.22,2,2.03,1.0,0.296,0.11,65,100,120.0
mumbai,3,0.9,1,52.46,1,1.65,1.0,0.188,0.062,65,100,108.48
pune,1,0.7,1,73.42,0,3.06,0.23,0.27,0.062,55,65,60.0
mumbai,1,0.7,1,68.67,1,0.76,0.861,0.258,0.072,65,100,93.69
pune,9,1.0,1,67.62,1,0.35,0.295,0.15,0.037,55,65,66.3
bangalore,9,1.0,5,65.31,2,2.33,0.204,0.301,0.034,58,80,83.36
chennai,7,1.5,1,71.47,1,0.33,0.711,0.492,0.108,62,95,120.0
bangalore,8,1.3,9,30.0,4,0.56,0.515,0.294,0.062,58,80,119.33
delhi,3,0.9,1,58.4,3,0.55,0.5,0.908,0.061,60,85,103.32
mumbai,10,0.8,5,72.23,0,1.79,0.887,0.187,0.088,65,100,91.22
pune,9,1.0,5,81.19,2,2.85,0.076,0.252,0.049,55,65,68.79
delhi,3,0.9,1,53.03,1,2.76,0.266,0.686,0.09,60,85,87.44
mumbai,0,0.7,1,69.49,1,0.85,0.723,0.408,0.086,65,100,87.15
chennai,10,0.8,1,60.37,1,4.74,0.772,0.488,0.086,62,95,88.49
pune,4,0.9,5,78.52,2,1.8,0.245,0.199,0.053,55,65,63.3
chennai,1,0.7,5,69.91,2,0.63,0.612,0.544,0.073,62,95,76.76
bangalore,1,0.7,5,47.23,0,0.8,0.364,0.144,0.038,58,80,60.71
pune,10,0.8,1,49.91,3,2.29,0.22,0.23,0.025,55,65,60.0
delhi,4,0.9,5,50.69,2,1.46,0.45,0.893,0.058,60,85,91.26
mumbai,8,1.3,5,53.54,3,1.78,0.633,0.247,0.119,65,100,120.0
pune,0,0.7,1,55.61,1,1.1,0.153,0.343,0.05,55,65,60.0
chennai,1,0.7,9,38.68,1,4.85,0.817,0.446,0.086,62,95,76.44
mumbai,8,1.3,1,67.34,3,2.1,0.784,0.165,0.108,65,100,120.0
pune,4,0.9,9,34.17,0,3.79,0.093,0.406,0.025,55,65,60.0
chennai,4,0.9,9,62.48,2,2.22,0.45,0.651,0.056,62,95,98.22
bangalore,10,0.8,5,44.24,3,4.14,0.281,0.241,0.029,58,80,61.33
chennai,7,1.5,5,52.02,2,1.43,0.662,0.575,0.089,62,95,120.0
delhi,5,1.3,5,75.69,3,1.39,0.353,0.777,0.056,60,85,120.0
bangalore,11,0.7,1,32.66,2,3.14,0.301,0.231,0.045,58,80,60.0
mumbai,4,0.9,1,55.0,2,4.55,0.882,0.243,0.086,65,100,101.81
pune,0,0.7,9,51.19,1,4.51,0.047,0.263,0.065,55,65,60.0
bangalore,6,1.5,9,69.91,1,2.86,0.183,0.377,0.03,58,80,119.17
mumbai,1,0.7,5,54.73,1,0.99,0.784,0.204,0.099,65,100,80.97
bangalore,2,0.8,1,68.9,2,1.19,0.329,0.143,0.059,58,80,71.13
delhi,10,0.8,1,54.75,2,0.71,0.462,0.788,0.062,60,85,81.77
pune,5,1.3,9,46.19,3,2.1,0.148,0.268,0.005,55,65,93.43
chennai,4,0.9,9,60.29,2,0.6,0.716,0.619,0.095,62,95,102.16
bangalore,5,1.3,1,53.27,2,3.46,0.368,0.494,0.033,58,80,114.46
mumbai,3,0.9,5,77.31,2,2.1,0.608,0.115,0.082,65,100,101.03
bangalore,4,0.9,5,70.09,2,4.58,0.391,0.388,0.036,58,80,76.5
chennai,4,0.9,9,53.19,0,1.53,0.788,0.738,0.082,62,95,95.36
delhi,10,0.8,1,72.8,2,3.04,0.448,0.799,0.076,60,85,75.13
delhi,10,0.8,1,64.03,0,2.77,0.441,0.781,0.057,60,85,77.97
bangalore,4,0.9,1,56.85,1,2.88,0.417,0.211,0.03,58,80,79.7
pune,6,1.5,1,75.07,3,3.75,0.015,0.304,0.045,55,65,98.95
delhi,8,1.3,5,77.98,3,3.68,0.467,0.766,0.055,60,85,120.0
delhi,7,1.5,1,67.26,5,2.14,0.625,0.644,0.066,60,85,120.0
pune,7,1.5,5,43.05,2,1.07,0.183,0.164,0.038,55,65,99.41
chennai,8,1.3,1,85.75,2,1.17,0.675,0.458,0.071,62,95,120.0
mumbai,4,0.9,5,77.69,2,2.87,0.826,0.169,0.101,65,100,106.34
mumbai,9,1.0,1,70.9,1,4.4,0.744,0.073,0.114,65,100,109.49
mumbai,1,0.7,9,81.72,1,1.51,0.631,0.221,0.133,65,100,71.92
delhi,3,0.9,1,48.41,0,3.75,0.415,0.6,0.048,60,85,81.12
pune,8,1.3,5,54.67,3,3.03,0.067,0.106,0.053,55,65,87.45
pune,10,0.8,5,58.55,2,2.48,0.234,0.21,-0.009,55,65,60.0
mumbai,6,1.5,1,49.59,3,2.95,0.753,0.31,0.082,65,100,120.0
pune,9,1.0,5,54.96,3,2.33,0.075,0.344,0.046,55,65,69.21
delhi,8,1.3,9,70.93,1,1.67,0.43,0.611,0.058,60,85,119.77
bangalore,7,1.5,5,70.45,3,0.11,0.316,0.497,0.031,58,80,120.0
pune,1,0.7,9,68.05,0,1.89,0.165,0.003,0.036,55,65,60.0
mumbai,2,0.8,5,56.21,3,3.56,0.947,0.092,0.068,65,100,97.24
pune,2,0.8,5,53.6,1,1.18,0.239,0.082,0.045,55,65,60.0
mumbai,0,0.7,1,82.13,0,1.72,0.635,0.199,0.11,65,100,80.73
bangalore,2,0.8,1,41.97,0,1.86,0.345,0.302,0.056,58,80,67.52
bangalore,5,1.3,1,59.54,1,1.84,0.347,0.315,0.074,58,80,116.11
bangalore,7,1.5,1,77.71,5,2.36,0.216,0.452,0.062,58,80,120.0
pune,2,0.8,1,50.17,1,0.53,0.105,0.254,0.055,55,65,60.0
pune,9,1.0,9,50.36,1,2.62,0.296,0.158,0.043,55,65,68.08
chennai,4,0.9,1,58.25,3,2.17,0.726,0.103,0.051,62,95,101.95
delhi,2,0.8,1,49.36,2,2.53,0.448,0.568,0.059,60,85,78.82
mumbai,1,0.7,1,64.69,1,3.09,0.813,0.293,0.089,65,100,86.21
delhi,6,1.5,5,66.5,6,2.37,0.506,0.732,0.064,60,85,120.0
delhi,5,1.3,1,51.01,6,1.79,0.387,0.639,0.077,60,85,120.0
chennai,1,0.7,1,50.95,0,3.42,0.656,0.327,0.104,62,95,72.26
pune,9,1.0,9,48.76,1,0.65,0.36,0.224,0.021,55,65,67.74
delhi,4,0.9,5,67.43,1,2.82,0.472,0.729,0.088,60,85,86.61
chennai,8,1.3,1,40.4,4,1.0,0.741,0.675,0.114,62,95,120.0
mumbai,10,0.8,1,80.05,2,1.24,0.821,0.194,0.109,65,100,96.42
bangalore,2,0.8,1,57.55,0,3.16,0.223,0.4,0.045,58,80,65.46
bangalore,1,0.7,5,51.11,2,1.71,0.099,0.395,0.064,58,80,60.0
pune,5,1.3,5,43.65,4,1.12,0.108,0.319,0.068,55,65,95.92
mumbai,6,1.5,5,69.51,2,3.24,0.865,0.417,0.066,65,100,120.0
delhi,8,1.3,1,63.47,2,2.87,0.362,0.777,0.103,60,85,120.0
pune,4,0.9,1,51.27,1,0.33,0.206,0.201,0.011,55,65,61.64
bangalore,6,1.5,1,35.19,1,3.55,0.117,0.383,0.068,58,80,120.0
pune,2,0.8,1,44.37,1,0.97,0.261,0.222,0.023,55,65,60.0
chennai,8,1.3,1,46.82,2,1.2,0.539,0.534,0.044,62,95,120.0
bangalore,2,0.8,9,78.33,2,2.6,0.295,0.257,0.094,58,80,63.45
mumbai,4,0.9,1,59.71,3,0.99,0.743,0.04,0.068,65,100,104.51
mumbai,6,1.5,1,49.88,5,3.96,0.774,0.234,0.098,65,100,120.0
delhi,9,1.0,5,65.98,1,1.14,0.396,0.673,0.075,60,85,94.42
chennai,8,1.3,5,41.71,3,3.57,0.692,0.539,0.115,62,95,120.0
delhi,5,1.3,1,42.36,1,1.0,0.377,0.664,0.051,60,85,120.0
pune,11,0.7,5,48.51,2,1.54,0.3,0.106,0.067,55,65,60.0
chennai,3,0.9,5,59.68,2,3.17,0.683,0.66,0.077,62,95,98.47
bangalore,5,1.3,1,49.99,4,2.55,0.273,0.518,0.053,58,80,120.0
delhi,5,1.3,1,48.63,2,2.22,0.344,0.743,0.069,60,85,120.0
mumbai,11,0.7,1,74.36,1,0.24,0.579,0.211,0.127,65,100,82.17
bangalore,11,0.7,9,60.82,0,0.15,0.366,0.289,0.078,58,80,62.36
chennai,5,1.3,1,72.01,3,1.35,0.744,0.304,0.088,62,95,120.0
pune,0,0.7,1,65.19,0,1.97,0.108,0.207,0.035,55,65,60.0
chennai,9,1.0,9,59.04,3,2.38,0.872,0.393,0.055,62,95,114.24
delhi,6,1.5,1,58.61,3,4.77,0.378,0.573,0.056,60,85,120.0
chennai,1,0.7,5,80.23,0,3.04,0.676,0.747,0.104,62,95,76.78
bangalore,0,0.7,5,48.31,2,0.7,0.221,0.338,0.033,58,80,60.0
pune,11,0.7,5,44.34,3,0.61,0.111,0.105,0.032,55,65,60.0
chennai,5,1.3,1,73.87,4,3.37,0.665,0.57,0.071,62,95,120.0
pune,9,1.0,1,56.15,2,2.0,0.307,0.085,0.075,55,65,70.82
chennai,11,0.7,5,59.03,0,1.24,0.799,0.574,0.049,62,95,78.74
pune,6,1.5,9,58.48,3,0.13,0.081,0.166,0.068,55,65,97.41
pune,3,0.9,5,65.9,0,4.86,0.03,0.117,0.026,55,65,60.0
pune,7,1.5,1,50.44,4,3.77,0.164,0.357,0.027,55,65,106.76
bangalore,2,0.8,1,44.18,2,1.11,0.254,0.276,0.056,58,80,77.25
chennai,7,1.5,9,45.23,3,1.41,0.829,0.486,0.067,62,95,120.0
delhi,0,0.7,9,66.24,0,2.52,0.54,0.71,0.063,60,85,62.89
mumbai,4,0.9,1,78.56,1,4.32,0.707,0.164,0.078,65,100,102.11
mumbai,7,1.5,1,60.68,2,2.23,0.682,0.16,0.091,65,100,120.0
mumbai,1,0.7,5,77.21,1,2.2,0.914,0.115,0.094,65,100,73.82
chennai,2,0.8,1,70.54,2,4.71,0.682,0.457,0.114,62,95,84.62
bangalore,6,1.5,5,68.68,2,2.8,0.174,0.286,0.038,58,80,120.0
pune,3,0.9,1,30.86,1,0.81,0.102,0.177,-0.011,55,65,60.0
pune,8,1.3,1,45.49,1,0.84,0.147,0.122,0.01,55,65,88.64
delhi,9,1.0,9,70.03,1,0.6,0.388,0.725,0.046,60,85,95.33
chennai,2,0.8,9,60.44,0,3.9,0.651,0.43,0.075,62,95,81.8
bangalore,7,1.5,5,58.77,5,4.48,0.061,0.144,0.064,58,80,120.0
bangalore,1,0.7,1,50.05,1,2.63,0.196,0.388,0.061,58,80,60.0
chennai,8,1.3,1,49.79,5,1.48,0.537,0.61,0.092,62,95,120.0
chennai,11,0.7,5,70.36,1,2.02,0.611,0.653,0.086,62,95,78.7
bangalore,4,0.9,1,47.78,3,1.58,0.329,0.343,0.073,58,80,83.26
pune,1,0.7,5,72.87,1,4.83,0.054,0.19,0.036,55,65,60.0
chennai,8,1.3,9,59.53,2,3.05,0.678,0.639,0.073,62,95,120.0
mumbai,7,1.5,1,53.77,2,2.1,0.892,0.0,0.1,65,100,120.0
chennai,0,0.7,5,71.17,3,1.61,0.747,0.79,0.111,62,95,83.84
chennai,10,0.8,9,59.22,2,0.71,0.706,0.443,0.084,62,95,90.05
chennai,9,1.0,5,61.19,0,4.12,0.715,0.359,0.098,62,95,99.27
mumbai,6,1.5,5,68.71,3,1.62,1.0,0.057,0.09,65,100,120.0
chennai,7,1.5,1,65.07,5,1.89,0.812,0.494,0.107,62,95,120.0
chennai,8,1.3,5,59.1,2,3.67,0.731,0.524,0.085,62,95,120.0
bangalore,5,1.3,9,64.36,2,4.06,0.405,0.484,0.07,58,80,111.37
mumbai,2,0.8,1,60.26,3,2.82,0.738,0.225,0.089,65,100,93.27
pune,10,0.8,1,67.77,2,0.48,0.278,0.0,0.037,55,65,60.0
delhi,9,1.0,9,73.71,0,2.14,0.465,0.735,0.063,60,85,90.92
chennai,4,0.9,1,48.05,0,4.1,0.752,0.475,0.091,62,95,95.8
mumbai,2,0.8,1,72.56,1,3.17,0.69,0.394,0.09,65,100,91.03
bangalore,7,1.5,1,81.3,2,1.72,0.316,0.218,0.084,58,80,120.0
mumbai,6,1.5,1,65.57,4,1.47,0.892,0.271,0.104,65,100,120.0
bangalore,2,0.8,1,45.57,3,1.64,0.361,0.372,0.048,58,80,71.66
chennai,9,1.0,5,74.4,0,2.74,0.789,0.574,0.07,62,95,111.72
mumbai,5,1.3,1,68.26,2,2.16,0.681,0.327,0.107,65,100,120.0
delhi,0,0.7,9,57.66,1,0.21,0.271,0.546,0.067,60,85,68.3
bangalore,4,0.9,1,61.91,0,4.41,0.182,0.167,0.062,58,80,71.26
chennai,11,0.7,1,70.44,2,2.74,0.639,0.51,0.061,62,95,77.83
chennai,3,0.9,5,42.96,1,4.7,0.63,0.471,0.042,62,95,96.85
pune,7,1.5,1,58.65,4,3.67,0.192,0.034,0.005,55,65,103.53
chennai,9,1.0,5,56.52,3,0.8,0.641,0.508,0.052,62,95,109.21
mumbai,11,0.7,1,57.56,3,2.47,0.766,0.193,0.111,65,100,88.21
delhi,5,1.3,5,72.21,6,4.3,0.378,0.627,0.086,60,85,120.0
mumbai,3,0.9,9,65.31,0,4.07,0.845,0.22,0.098,65,100,89.59
chennai,4,0.9,1,68.35,4,3.94,0.56,0.499,0.071,62,95,103.08
chennai,1,0.7,5,70.68,4,3.58,0.659,0.389,0.105,62,95,79.55
mumbai,3,0.9,9,85.04,2,4.19,0.793,0.052,0.117,65,100,99.68
chennai,6,1.5,1,69.45,5,0.81,0.59,0.645,0.116,62,95,120.0
chennai,9,1.0,5,57.33,4,4.12,0.638,0.328,0.074,62,95,103.94
mumbai,0,0.7,1,81.98,1,4.74,0.936,0.068,0.086,65,100,83.37
pune,10,0.8,1,59.22,2,4.66,0.222,0.123,0.03,55,65,60.0
delhi,3,0.9,1,55.85,1,3.98,0.525,0.8,0.046,60,85,85.95
mumbai,4,0.9,5,68.74,2,2.07,0.762,0.072,0.071,65,100,100.76
chennai,6,1.5,1,62.83,2,1.47,0.869,0.406,0.026,62,95,120.0
pune,6,1.5,1,76.38,3,3.75,0.296,0.262,0.047,55,65,107.75
pune,11,0.7,9,66.63,2,4.2,0.37,0.342,0.031,55,65,60.0
delhi,8,1.3,1,70.44,8,3.11,0.522,0.777,0.092,60,85,120.0
mumbai,11,0.7,1,69.08,0,4.96,0.757,0.251,0.115,65,100,75.45
delhi,2,0.8,5,64.72,1,2.35,0.402,0.855,0.03,60,85,75.09
delhi,11,0.7,1,57.44,1,2.44,0.447,0.718,0.091,60,85,66.51
mumbai,5,1.3,5,66.94,2,1.53,0.749,0.246,0.085,65,100,120.0
delhi,11,0.7,5,41.59,0,4.64,0.354,0.649,0.043,60,85,60.0
pune,2,0.8,5,45.61,5,0.16,0.108,0.275,0.045,55,65,66.48
pune,8,1.3,1,59.42,2,2.76,0.373,0.004,0.046,55,65,85.89
chennai,4,0.9,9,67.57,4,2.1,0.665,0.337,0.083,62,95,100.74
chennai,2,0.8,1,63.93,2,4.16,0.634,0.33,0.077,62,95,86.81
pune,11,0.7,1,47.71,3,4.17,0.16,0.231,0.057,55,65,60.0
bangalore,7,1.5,1,83.6,4,3.45,0.262,0.371,0.044,58,80,120.0
chennai,6,1.5,1,61.65,2,2.27,0.73,0.525,0.107,62,95,120.0
mumbai,1,0.7,1,73.55,2,2.58,0.685,0.214,0.094,65,100,77.53
mumbai,2,0.8,1,66.05,0,2.68,0.825,0.191,0.105,65,100,89.38
delhi,3,0.9,1,77.31,2,0.42,0.496,0.821,0.094,60,85,92.96
chennai,11,0.7,5,65.55,1,4.81,0.887,0.685,0.072,62,95,71.52
delhi,6,1.5,5,66.26,7,4.9,0.355,0.702,0.06,60,85,120.0
delhi,3,0.9,5,67.81,2,4.83,0.349,0.589,0.088,60,85,80.67
pune,11,0.7,1,77.07,2,1.95,0.239,0.266,0.048,55,65,60.0
pune,3,0.9,9,33.12,4,0.53,0.154,0.103,0.022,55,65,64.6
pune,8,1.3,5,30.0,4,2.38,0.191,0.231,0.022,55,65,94.84
chennai,11,0.7,1,45.83,1,3.36,0.744,0.492,0.078,62,95,77.11
mumbai,7,1.5,1,66.07,5,2.02,0.854,0.166,0.067,65,100,120.0
bangalore,0,0.7,1,56.98,3,4.34,0.254,0.235,0.01,58,80,60.0
pune,8,1.3,5,57.08,3,4.55,0.188,0.189,0.064,55,65,85.78
chennai,9,1.0,1,45.37,1,0.72,0.678,0.497,0.114,62,95,106.14
pune,10,0.8,1,60.02,1,2.75,0.082,0.026,0.024,55,65,60.0
bangalore,10,0.8,5,54.37,0,4.93,0.345,0.41,0.019,58,80,62.81
bangalore,9,1.0,5,51.96,4,3.7,0.378,0.284,0.063,58,80,86.2
delhi,7,1.5,1,57.32,3,0.21,0.302,0.63,0.071,60,85,120.0
bangalore,9,1.0,1,54.31,1,0.65,0.122,0.367,0.042,58,80,84.78
delhi,3,0.9,5,56.7,0,0.4,0.481,0.926,0.071,60,85,90.47
mumbai,0,0.7,1,61.75,1,4.96,0.698,0.158,0.069,65,100,75.91
pune,9,1.0,1,48.44,2,4.63,0.19,0.231,0.047,55,65,69.31
chennai,1,0.7,9,38.1,2,3.67,0.758,0.43,0.072,62,95,71.47
mumbai,7,1.5,1,77.71,2,4.48,0.91,0.285,0.129,65,100,120.0
bangalore,10,0.8,5,87.34,0,0.54,0.211,0.443,0.053,58,80,64.3
delhi,5,1.3,9,63.18,4,4.8,0.343,0.589,0.082,60,85,120.0
bangalore,1,0.7,9,69.34,1,2.09,0.441,0.166,0.089,58,80,60.0
pune,5,1.3,1,43.66,1,4.02,0.161,0.226,0.062,55,65,89.96
bangalore,10,0.8,1,44.12,1,3.84,0.447,0.111,0.05,58,80,60.79
chennai,10,0.8,1,49.34,1,2.49,0.798,0.547,0.102,62,95,91.53
chennai,11,0.7,1,30.0,1,1.15,0.764,0.558,0.1,62,95,79.9
mumbai,11,0.7,5,68.8,3,4.12,0.904,0.0,0.098,65,100,75.27
pune,10,0.8,9,54.69,2,0.31,0.271,0.103,0.061,55,65,60.0
bangalore,8,1.3,5,59.46,4,4.92,0.442,0.398,0.043,58,80,113.51
chennai,6,1.5,1,67.15,3,1.64,0.574,0.466,0.108,62,95,120.0
bangalore,6,1.5,5,57.49,4,3.98,0.368,0.299,0.072,58,80,120.0
pune,3,0.9,1,74.63,3,2.72,0.182,0.095,0.031,55,65,61.29
chennai,6,1.5,1,62.89,3,1.34,0.586,0.447,0.069,62,95,120.0
delhi,10,0.8,1,52.62,3,3.98,0.369,0.637,0.062,60,85,76.65
pune,2,0.8,1,49.45,1,1.89,0.2,0.3,0.016,55,65,60.0
bangalore,2,0.8,1,52.94,5,4.37,0.358,0.315,0.075,58,80,74.06
chennai,5,1.3,1,52.92,1,2.89,0.785,0.519,0.112,62,95,120.0
pune,5,1.3,9,43.6,3,1.43,0.162,0.21,0.057,55,65,88.1
delhi,2,0.8,1,60.24,3,4.95,0.631,0.663,0.088,60,85,79.07
mumbai,2,0.8,5,57.22,2,3.08,0.779,0.311,0.061,65,100,95.91
chennai,8,1.3,1,73.41,3,0.24,0.519,0.576,0.09,62,95,120.0
pune,8,1.3,1,53.14,5,2.54,0.176,0.279,0.038,55,65,91.51
pune,4,0.9,9,64.96,4,4.49,0.077,0.307,0.053,55,65,60.2
pune,9,1.0,1,55.34,0,2.64,0.123,0.14,0.033,55,65,61.9
mumbai,9,1.0,1,61.47,2,2.26,0.766,0.24,0.144,65,100,117.72
delhi,2,0.8,5,73.64,2,0.96,0.413,0.689,0.006,60,85,83.04
pune,8,1.3,5,53.84,7,4.66,0.232,0.18,0.072,55,65,97.55
mumbai,8,1.3,1,64.29,4,2.12,0.817,0.299,0.102,65,100,120.0
chennai,10,0.8,9,72.24,1,1.53,0.705,0.521,0.082,62,95,78.23
chennai,6,1.5,1,61.69,3,2.17,0.906,0.443,0.059,62,95,120.0
chennai,7,1.5,1,65.94,4,0.97,0.545,0.474,0.115,62,95,120.0
chennai,10,0.8,5,83.23,2,1.38,0.675,0.493,0.092,62,95,87.96
chennai,9,1.0,9,59.96,1,0.15,0.621,0.66,0.073,62,95,104.65
pune,3,0.9,9,35.28,2,2.44,0.243,0.352,0.065,55,65,60.0
pune,9,1.0,1,40.88,2,4.89,0.207,0.08,0.065,55,65,64.58
bangalore,9,1.0,5,57.01,1,1.5,0.427,0.237,0.056,58,80,84.05
pune,8,1.3,1,40.37,3,1.1,0.001,0.276,0.021,55,65,96.78
bangalore,7,1.5,1,36.29,4,4.72,0.373,0.329,0.048,58,80,120.0
bangalore,5,1.3,5,89.3,3,3.32,0.317,0.179,0.088,58,80,112.31
bangalore,5,1.3,1,41.55,1,0.45,0.119,0.144,0.048,58,80,109.04
chennai,10,0.8,5,59.92,2,2.43,0.734,0.727,0.091,62,95,90.9
chennai,0,0.7,5,80.75,3,2.07,0.663,0.573,0.092,62,95,76.7
bangalore,10,0.8,1,57.58,4,2.65,0.336,0.224,0.088,58,80,73.8
mumbai,3,0.9,9,59.91,3,0.39,0.892,0.398,0.081,65,100,112.95
delhi,7,1.5,1,48.23,1,0.53,0.367,0.702,0.043,60,85,120.0
chennai,7,1.5,5,46.05,5,0.49,0.575,0.372,0.11,62,95,120.0
mumbai,7,1.5,1,61.67,2,2.92,0.673,0.0,0.082,65,100,120.0
bangalore,4,0.9,9,50.78,1,1.42,0.21,0.29,0.054,58,80,75.48
mumbai,10,0.8,5,72.82,1,4.79,0.782,0.128,0.105,65,100,86.17
mumbai,7,1.5,1,66.14,4,4.44,0.731,0.372,0.093,65,100,120.0
mumbai,2,0.8,1,60.88,2,4.05,0.793,0.199,0.104,65,100,93.75
mumbai,7,1.5,1,63.62,2,2.58,0.764,0.398,0.104,65,100,120.0
chennai,11,0.7,1,74.58,0,3.71,0.559,0.607,0.108,62,95,74.75
bangalore,2,0.8,1,35.71,4,3.45,0.324,0.394,0.048,58,80,72.17
chennai,7,1.5,1,66.72,2,3.42,0.914,0.322,0.083,62,95,120.0
